"filename", "language", "JavaScript", "JSON", "Properties", "YAML", "XML", "C#", "HTML", "Markdown", "JavaScript JSX", "PostCSS", "Docker", "comment", "blank", "total"
"/home/alrightytighty/DataBeats/backend/Models/SongFile.cs", "C#", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 11, 26
"/home/alrightytighty/DataBeats/backend/Models/SongGenre.cs", "C#", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 15, 34
"/home/alrightytighty/DataBeats/backend/Models/SongLyricist.cs", "C#", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 15, 34
"/home/alrightytighty/DataBeats/backend/Models/SongPath.cs", "C#", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"/home/alrightytighty/DataBeats/backend/Models/SongProducer.cs", "C#", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 15, 34
"/home/alrightytighty/DataBeats/backend/Models/SongUpload.cs", "C#", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"/home/alrightytighty/DataBeats/backend/Models/User.cs", "C#", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 49, 102
"/home/alrightytighty/DataBeats/backend/Models/UserAttendsEvent.cs", "C#", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 9, 22
"/home/alrightytighty/DataBeats/backend/Models/UserFollowsUser.cs", "C#", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 9, 22
"/home/alrightytighty/DataBeats/backend/Models/UserFriendsWithUser.cs", "C#", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 11, 26
"/home/alrightytighty/DataBeats/backend/Models/UserIsCollaboratorOfPlaylist.cs", "C#", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 11, 26
"/home/alrightytighty/DataBeats/backend/Models/UserLikesSong.cs", "C#", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 7, 18
"/home/alrightytighty/DataBeats/backend/Models/UserListensToSong.cs", "C#", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 8, 20
"/home/alrightytighty/DataBeats/backend/Models/UserMakesComplaint.cs", "C#", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 9, 22
"/home/alrightytighty/DataBeats/backend/Models/UserRatesSong.cs", "C#", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 19, 42
"/home/alrightytighty/DataBeats/backend/Models/UserSavesPlaylist.cs", "C#", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 9, 22
"/home/alrightytighty/DataBeats/backend/Program.cs", "C#", 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 4, 33, 145
"/home/alrightytighty/DataBeats/backend/Properties/launchSettings.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/home/alrightytighty/DataBeats/backend/appsettings.Development.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/alrightytighty/DataBeats/backend/appsettings.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/alrightytighty/DataBeats/backend/backend.csproj", "XML", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/home/alrightytighty/DataBeats/backend/cloudbuild.yaml", "YAML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/alrightytighty/DataBeats/backend/package-lock.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/alrightytighty/DataBeats/frontend/.env", "Properties", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/alrightytighty/DataBeats/frontend/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 7, 25
"/home/alrightytighty/DataBeats/frontend/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 8, 17
"/home/alrightytighty/DataBeats/frontend/cloudbuild.yaml", "YAML", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 4, 5, 47
"/home/alrightytighty/DataBeats/frontend/eslint.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"/home/alrightytighty/DataBeats/frontend/index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"/home/alrightytighty/DataBeats/frontend/nginx.conf", "Properties", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 19
"/home/alrightytighty/DataBeats/frontend/package-lock.json", "JSON", 0, 3117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3118
"/home/alrightytighty/DataBeats/frontend/package.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"/home/alrightytighty/DataBeats/frontend/public/vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/alrightytighty/DataBeats/frontend/src/App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 5, 36
"/home/alrightytighty/DataBeats/frontend/src/App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 8, 115
"/home/alrightytighty/DataBeats/frontend/src/Components/AddButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"/home/alrightytighty/DataBeats/frontend/src/Components/AddSongModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 14, 151
"/home/alrightytighty/DataBeats/frontend/src/Components/AddSongModal.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 283, 0, 5, 54, 342
"/home/alrightytighty/DataBeats/frontend/src/Components/AddUserModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 1, 15, 103
"/home/alrightytighty/DataBeats/frontend/src/Components/AddUserModal.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 0, 9, 19, 153
"/home/alrightytighty/DataBeats/frontend/src/Components/AdminActivity.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 10, 137
"/home/alrightytighty/DataBeats/frontend/src/Components/AdminActivity.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 18, 109
"/home/alrightytighty/DataBeats/frontend/src/Components/AlbumCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 3, 4, 39
"/home/alrightytighty/DataBeats/frontend/src/Components/AlbumSongListing.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 5, 49
"/home/alrightytighty/DataBeats/frontend/src/Components/AlbumSongListing.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 12, 73
"/home/alrightytighty/DataBeats/frontend/src/Components/Bio.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 17, 10, 83
"/home/alrightytighty/DataBeats/frontend/src/Components/ContentReportsChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 11, 152
"/home/alrightytighty/DataBeats/frontend/src/Components/ContentReportsChart.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 22, 134
"/home/alrightytighty/DataBeats/frontend/src/Components/ContextMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 5, 24
"/home/alrightytighty/DataBeats/frontend/src/Components/ContextMenu.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 4, 37
"/home/alrightytighty/DataBeats/frontend/src/Components/ContextMenuButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"/home/alrightytighty/DataBeats/frontend/src/Components/ContextMenuButton.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"/home/alrightytighty/DataBeats/frontend/src/Components/DeleteButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 5, 35
"/home/alrightytighty/DataBeats/frontend/src/Components/EditButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 2, 15
"/home/alrightytighty/DataBeats/frontend/src/Components/EventCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 3, 29
"/home/alrightytighty/DataBeats/frontend/src/Components/MusicianPicName.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 23, 12, 149
"/home/alrightytighty/DataBeats/frontend/src/Components/Playbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 5, 23, 155
"/home/alrightytighty/DataBeats/frontend/src/Components/Playbar.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 3, 14, 97
